csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_ctax_project_category,csv_post_tags,csv_post_date,csv_navi_zoom,csv_navi_latitude,csv_navi_longitude
Aguada Alta - Cruce Sivingani Road,,project,,Health,,,15,-17.85133,-65.650177
Aiquile Runway,,project,,Water,,,15,-18.196575,-65.183601
Alota Clinic,,project,,,,,15,-21.395861,-67.588234
Alota Runway,,project,,,,,15,-21.407047,-67.549438
Alto Buena Vista Clinic,,project,,,,,15,-17.114544,-66.783142
Alto Buena Vista Road,,project,,,,,15,-17.11323,-66.778336
Alto Pagador Clinic,,project,,,,,15,-17.330975,-66.143188
Ana Rancho Clinic,,project,,,,,15,-17.634861,-65.899429
Apacheta - Chullpa K'asa Road,,project,,,,,15,-17.336874,-66.676025
Apharumiri Clinic,,project,,,,,15,-17.518017,-66.599121
Apillapampa Clinic,,project,,,,,15,-17.798708,-66.199493
Apote Clinic,,project,,,,,15,-17.330648,-66.240517
Apote Education Projects,,project,,,,,15,-17.328518,-66.243439
Apote Community Projects,,project,,,,,15,-17.328844,-66.239143
Apote Road,,project,,,,,15,-17.327862,-66.246361
Aramasi Clinic,,project,,,,,15,-17.574648,-65.782242
Arampampa Runway,,project,,,,,15,-17.940847,-66.08139
Asunta Runway,,project,,,,,15,-15.445738,-64.414215
Atacari Clinic,,project,,,,,15,-18.406654,-66.107483
Belen de Urmiri Education Projects,,project,,,,,15,-18.582312,-66.875153
Belen de Urmiri Community Projects,,project,,,,,15,-18.578569,-66.876526
Belen de Urmiri Road,,project,,,,,15,-18.578569,-66.880135
Belen de Urmiri Runway,,project,,,,,15,-18.58215,-66.879959
Bella Vista Clinic,,project,,,,,15,-19.417383,-67.333832
Bella Vista - Vila Vila Road,,project,,,,,15,-17.944769,-65.514221
Calachaca Education Projects,,project,,,,,15,-18.082548,-65.469017
Calazaya Education Projects,,project,,,,,15,-20.08173,-66.389008
Calchani Clinic,,project,,,,,15,-17.233366,-66.749756
Calila - Jorcochi Road,,project,,,,,15,-20.200346,-65.613556
Camacho Rancho Education Projects,,project,,,,,15,-17.565483,-65.875626
Campo Via Clinic,,project,,,,,15,-17.089603,-65.698242
Campo Vibora Clinic,,project,,,,,15,-17.480362,-63.895111
Campo Vibora Education Projects,,project,,,,,15,-17.444992,-63.91983
Campo Vibora Community Projects,,project,,,,,15,-17.454163,-63.878632
Candelaria Clinic 1,,project,,,,,15,-19.295589,-64.869003
Candelaria Clinic 2,,project,,,,,15,-19.255405,-64.815445
Candelaria Runway,,project,,,,,15,-14.42936,-65.159912
Candelaria de Viluyo Clinic,,project,,,,,15,-19.64776,-67.664795
Cantar Gallo Clinic,,project,,,,,15,-19.518375,-64.79599
Caroma - Huanuma Road,,project,,,,,15,-17.842178,-65.383759
Caroma - Pucarani Road,,project,,,,,15,-17.970896,-65.441437
Cayti - Sagrario Road,,project,,,,,15,-20.927132,-65.980797
Cazon - Thapi Road,,project,,,,,15,-20.637924,-66.171112
Cazon - Tres Cruces Road,,project,,,,,15,-20.875494,-65.695496
Cerdas - Tazna Rosario Road,,project,,,,,15,-20.738134,-66.478271
Cerdas Runway,,project,,,,,15,-20.797201,-66.468658
Cerro Colorado - Rancho Road,,project,,,,,15,-20.578796,-65.419975
Chacoma Clinic,,project,,,,,15,-19.694313,-68.529968
Chalcha K Clinic,,project,,,,,15,-21.094751,-67.511673
Challacota Clinic,,project,,,,,15,-19.317623,-67.869072
Challhuani Pojo Clinic,,project,,,,,15,-17.815214,-64.866028
Chapisirca Clinic,,project,,,,,15,-17.148664,-66.145935
Chapisirca Education Projects,,project,,,,,15,-17.147352,-66.150742
Chapisirca Community Projects,,project,,,,,15,-17.14768,-66.140785
Charahuayto Education Projects,,project,,,,,15,-17.006887,-66.811295
Charahuayto Community Projects,,project,,,,,15,-17.011812,-66.802711
Charamoco Clinic,,project,,,,,15,-17.600012,-66.249619
Chilijchi Clinic,,project,,,,,15,-17.650564,-65.32196
Chilijchi Education Projects,,project,,,,,15,-17.643696,-65.322304
Chilijchi Community Projects,,project,,,,,15,-17.647621,-65.316467
Chimore Runway,,project,,,,,15,-16.580919,-64.917526
Chiro K'asa Clinic,,project,,,,,15,-18.198044,-66.236572
Choquechampi Reservoir,,project,,,,,15,-17.329664,-66.030579
Chucupial - Salado K'asa Road,,project,,,,,15,-18.237177,-64.5504
Chullpa K'asa Clinic,,project,,,,,15,-17.13423,-66.533203
Chullpa K'asa Education Projects,,project,,,,,15,-17.33753,-66.676025
Chullpa K'asa Community Projects,,project,,,,,15,-17.33753,-66.675682
Chuñavi Clinic,,project,,,,,15,-16.342543,-68.385086
Chunca Cancha Clinic,,project,,,,,15,-19.704012,-64.59343
Cocapata Clinic,,project,,,,,15,-16.952381,-66.715851
Cochini - Escalon Road,,project,,,,,15,-17.880737,-65.722275
Colcha K Clinic,,project,,,,,15,-20.756113,-67.777405
Colcha K Runway,,project,,,,,15,-20.792067,-67.804871
Collacamani Clinic,,project,,,,,15,-19.233362,-64.899673
Colonia Andino Clinic,,project,,,,,15,-17.054159,-64.758911
Colonia Andino Education Projects,,project,,,,,15,-17.039881,-64.760117
Colonia Andino Community Projects,,project,,,,,15,-17.041521,-64.757195
Colorado Clinic,,project,,,,,15,-15.937561,-66.811066
Conda Baja Education Projects,,project,,,,,15,-17.71664,-65.378952
Conda Baja Community Projects,,project,,,,,15,-17.714678,-65.380325
Confital Clinic,,project,,,,,15,-17.66954,-66.719627
Copachuncho Clinic,,project,,,,,15,-17.706175,-65.100174
Corani Pampa Clinic,,project,,,,,15,-17.205082,-65.938568
Corani Pampa Education Projects,,project,,,,,15,-17.191963,-65.942688
Corani Pampa Community Projects,,project,,,,,15,-17.190651,-65.939941
Cornaca - Tablaya Palca Road,,project,,,,,15,-20.910133,-65.529327
Coroma Clinic,,project,,,,,15,-19.468534,-66.848373
Cotagaita Runway,,project,,,,,15,-20.85368,-65.690002
Cotagaitilla - Cayti Road,,project,,,,,15,-21.005035,-65.987091
Cotagaitilla - Ojo de Agua Road,,project,,,,,15,-20.871643,-65.792999
Cruce Laytapi - Villa Concepcion Road,,project,,,,,15,-20.429586,-66.123962
Cuchu Muela - Lajas Canada Road,,project,,,,,15,-17.611301,-65.76416
Cuiza Education Projects,,project,,,,,15,-19.103647,-66.133118
Cuiza Community Projects,,project,,,,,15,-19.0725,-66.0672
El Abra Clinic,,project,,,,,15,-17.404783,-66.158554
El Palmar Road,,project,,,,,15,-20.880627,-64.254913
El Paso Clinic,,project,,,,,15,-17.369808,-66.279831
Falsuri Clinic,,project,,,,,15,-16.911654,-66.63311
Falsuri (Camargo) Clinic,,project,,,,,15,-20.596794,-64.956665
Falsuri Education Projects,,project,,,,,15,-16.908041,-66.629333
Falsuri Community Projects,,project,,,,,15,-16.909683,-66.63208
Huaca Cancha Clinic,,project,,,,,15,-20.284098,-65.022583
Huanacuni Chico Clinic,,project,,,,,15,-17.933989,-64.883194
Huanacuni Chico Road,,project,,,,,15,-17.924517,-64.891434
Huanacuni Grande Runway,,project,,,,,15,-18.10017,-64.91481
Huayllas Education Projects,,project,,,,,15,-17.060722,-66.494751
Huayllas Community Projects,,project,,,,,15,-17.058098,-66.485138
Incacasani Clinic,,project,,,,,15,-16.943842,-66.518097
Incacasani Education Projects,,project,,,,,15,-16.950411,-66.507111
Incacasani Community Projects,,project,,,,,15,-16.94647,-66.504364
Incacasani Road,,project,,,,,15,-16.949097,-66.494751
Incacasani Runway,,project,,,,,15,-16.937275,-66.498528
Independencia Road,,project,,,,,15,-17.082384,-66.818848
Iscay Huasi Clinic,,project,,,,,15,-17.526855,-65.518341
Japo Clinic,,project,,,,,15,-17.679026,-66.769753
Jarana Education Projects,,project,,,,,15,-18.719097,-65.968781
Jarana Community Projects,,project,,,,,15,-18.715195,-65.934448
Jatun K'asa Education Projects,,project,,,,,15,-17.951954,-66.082191
Jatun K'asa Community Projects,,project,,,,,15,-17.944115,-66.066399
Jatun Mayu Road,,project,,,,,15,-17.47938,-65.670776
Kalachaca Road,,project,,,,,15,-18.023792,-65.584259
Kari Pocoata Clinic,,project,,,,,15,-18.533327,-66.266098
Kari Pocoata Education Projects,,project,,,,,15,-18.5317,-66.261292
Kari Pocoata Community Projects,,project,,,,,15,-18.532677,-66.269531
K'aspi Cancha Clinic,,project,,,,,15,-17.388647,-65.706482
Kayarani Clinic,,project,,,,,15,-17.418787,-65.65567
Kayarani Education Projects,,project,,,,,15,-17.416822,-65.65979
Kayarani Road,,project,,,,,15,-17.415838,-65.657043
Kewina Pampa Clinic,,project,,,,,15,-17.714678,-65.453796
Kily Kily Road,,project,,,,,15,-17.628971,-65.784073
Kiri Kiri Clinic,,project,,,,,15,-17.169659,-66.755676
Kirusillani Clinic,,project,,,,,15,-18.064924,-66.09787
Kirusillani - Leuque Road,,project,,,,,15,-18.076509,-66.109886
Koaraca Education Projects,,project,,,,,15,-17.937582,-66.140442
Koari Clinic,,project,,,,,15,-17.481672,-65.533447
Kuchu Arumani Road,,project,,,,,15,-17.926476,-65.823212
Kumara Clinic,,project,,,,,15,-17.04825,-66.580582
K'umo Thago - Kainal Road,,project,,,,,15,-18.094051,-64.908783
La Joya Clinic,,project,,,,,15,-18.635836,-64.955292
Laguna Grande Clinic,,project,,,,,15,-18.66186,-64.102478
Laguna Sulty Clinic 1,,project,,,,,15,-17.517445,-65.915924
Laguna Sulty Clinic 2,,project,,,,,15,-17.549772,-65.893936
Laguna Sulty Reservoir,,project,,,,,15,-17.545843,-65.901489
Laime Toro Clinic,,project,,,,,15,-17.589376,-65.049706
Laimina Clinic,,project,,,,,15,-17.69309,-65.33844
Laja - Lajoya Road,,project,,,,,15,-20.777943,-66.250534
Leon Rancho Clinic,,project,,,,,15,-17.623081,-65.824585
Leque (Tapacari) Clinic,,project,,,,,15,-17.508848,-66.816101
Leque Education Projects,,project,,,,,15,-17.502628,-66.805115
Leque Community Projects,,project,,,,,15,-17.50132,-66.820221
Loma Jaimes - Chari Chari Road,,project,,,,,15,-18.320633,-65.022812
Lope Mendoza Clinic,,project,,,,,15,-17.549772,-65.366592
Los Pozos Clinic,,project,,,,,15,-22.586119,-64.469376
Maica Central Clinic,,project,,,,,15,-17.598867,-65.978394
Maica Monte Clinic,,project,,,,,15,-16.95698,-66.073151
Maica Monte  Education Projects,,project,,,,,15,-17.351294,-65.829391
Maica Monte Community Projects,,project,,,,,15,-17.350637,-65.822182
Malcastaca - Santa Rosa Road,,project,,,,,15,-20.454037,-65.266342
Mama Huasi Clinic,,project,,,,,15,-17.536022,-65.471649
Mama Huasi Bajo - Jatun K'asa Road,,project,,,,,15,-17.961098,-66.160469
Mizque Clinic,,project,,,,,15,-17.927782,-65.328827
Mizque Education Projects,,project,,,,,15,-17.921249,-65.335007
Mizque Community Projects,,project,,,,,15,-17.918636,-65.319214
Mojon Vila Vila Education Projects,,project,,,,,15,-17.902954,-65.584259
Mojon Vila Vila Community Projects,,project,,,,,15,-17.905243,-65.584946
Molle Molle Clinic,,project,,,,,15,-17.458094,-66.299057
Molleni Clinic,,project,,,,,15,-19.748447,-64.514465
Mollini Education Projects,,project,,,,,15,-20.424438,-65.343933
Mollini Community Projects,,project,,,,,15,-20.427013,-65.289001
Monte Puncu Clinic,,project,,,,,15,-17.603121,-65.287628
Montecillo Alto Clinic,,project,,,,,15,-17.069914,-66.379395
Morochata Clinic,,project,,,,,15,-17.237055,-66.533379
Morochata Community Projects,,project,,,,,15,-17.236563,-66.52874
Mosoj Llajta Clinic,,project,,,,,15,-16.980621,-65.797119
Mulu Falda - Chillijchi Road,,project,,,,,15,-17.802303,-65.440063
Mulu Kuchu Road,,project,,,,,15,-17.843487,-65.580139
Natividad Runway,,project,,,,,15,-10.889277,-65.323334
Omereque Clinic,,project,,,,,15,-18.10474,-64.90654
Omereque Education Projects,,project,,,,,15,-18.102455,-64.911346
Omereque Community Projects,,project,,,,,15,-18.10425,-64.903107
Omereque Ponds,,project,,,,,15,-18.034891,-64.86763
Opoco Clinic,,project,,,,,15,-19.822266,-66.697998
Palaya Clinic,,project,,,,,15,-19.743439,-68.252563
Palca - Torcochi Road,,project,,,,,15,-18.68788,-65.218048
Pampa Grande Clinic,,project,,,,,15,-17.538643,-65.871452
Pampas de Leque Clinic,,project,,,,,15,-19.830017,-64.551544
Pampas de Leque Education Projects,,project,,,,,15,-19.817825,-64.552345
Pampas de Leque Community Projects,,project,,,,,15,-19.826141,-64.544678
Pantoja Clinic,,project,,,,,15,-18.063618,-64.738312
Pasorapa Clinic,,project,,,,,15,-18.330736,-64.700546
Pasorapa Runway,,project,,,,,15,-18.327803,-64.695396
Patirana - Tumusla - San Jose Road,,project,,,,,15,-21.084499,-65.764618
Pena Colorada Runway,,project,,,,,15,-18.091034,-64.858017
Pilpina Road,,project,,,,,15,-17.963058,-65.558167
Pisorga - Tabla Corral Road,,project,,,,,15,-17.617846,-65.401726
Piusilla Clinic,,project,,,,,15,-17.182779,-66.448059
Piusilla Education Projects,,project,,,,,15,-17.172283,-66.450806
Piusilla Community Projects,,project,,,,,15,-17.16441,-66.439819
Placa Molino Clinic,,project,,,,,15,-18.183123,-65.650093
Pocoata Education Projects,,project,,,,,15,-18.705441,-66.166534
Pocona Clinic,,project,,,,,15,-17.687859,-65.409851
Puca Mayu Clinic,,project,,,,,15,-17.270662,-65.916595
Pucarani Education Projects,,project,,,,,15,-17.983957,-65.44075
Pucarani Community Projects,,project,,,,,15,-17.974813,-65.452538
Puituco Clinic,,project,,,,,15,-19.340626,-66.10611
Puituco - Belen Pampa Road,,project,,,,,15,-19.26837,-66.134949
Puituco - Putina Pampa Road,,project,,,,,15,-19.294943,-66.121902
Quehua Clinic,,project,,,,,15,-19.952696,-66.962128
Ramadas Clinic,,project,,,,,15,-17.55501,-66.472778
Raqay Pampa Clinic,,project,,,,,15,-17.572029,-65.429077
Raqay Pampa Runway,,project,,,,,15,-17.571865,-65.426331
Reyes Runway,,project,,,,,15,-14.264383,-67.368164
Riberalta Cristo Rey Clinic,,project,,,,,15,-11.005904,-66.052551
Riberalta - Tambo Vallegrande Road,,project,,,,,15,-20.621218,-65.782013
Rio Grande Clinic,,project,,,,,15,-20.828011,-67.302246
Rodeo Clinic,,project,,,,,15,-17.575956,-65.593872
Rodeo (Icla) Clinic,,project,,,,,15,-19.151655,-64.746552
Rodeo Education Projects,,project,,,,,15,-17.578575,-65.596619
Rodeo Community Projects,,project,,,,,15,-17.578575,-65.593872
Rumi Mogo - Tarco Pampa Road,,project,,,,,15,-17.926804,-65.414719
Sacabambilla - Cursani Road,,project,,,,,15,-17.477251,-65.771568
Sallamani Chico Reservoir,,project,,,,,15,-17.638786,-65.147949
San Agustin Clinic,,project,,,,,15,-21.159121,-67.675522
San Agustin Education Projects,,project,,,,,15,-21.163923,-67.72522
San Agustin Runway,,project,,,,,15,-21.197216,-67.640076
San Jacinto Clinic,,project,,,,,15,-19.315517,-64.751015
San Jose Clinic,,project,,,,,15,-17.077133,-65.839005
San Jose de la Banda Clinic,,project,,,,,15,-17.577267,-65.904236
San Juan del Rosario Clinic,,project,,,,,15,-20.987085,-67.769165
San Lorenzo - Pampa Grand Road,,project,,,,,15,-21.308567,-65.78476
San Miguel Clinic,,project,,,,,15,-19.842936,-64.557266
San Pablo de Isiboro Runway,,project,,,,,15,-15.707663,-64.953918
San Pedro Clinic,,project,,,,,15,-19.616718,-64.451981
San Pedro Education Projects,,project,,,,,15,-19.612837,-64.444427
San Pedro Community Projects,,project,,,,,15,-19.613483,-64.458847
San Vicente Clinic,,project,,,,,15,-18.155313,-65.537224
Santa Rosa Clinic,,project,,,,,15,-16.866978,-65.156479
Santiago Education Projects,,project,,,,,15,-17.909489,-66.108856
Sepulturas Education Projects,,project,,,,,15,-16.857121,-66.788635
Sepulturas Community Projects,,project,,,,,15,-16.550646,-66.795502
Sikimira Clinic,,project,,,,,15,-17.996367,-65.717468
Sillada Clinic,,project,,,,,15,-19.132195,-64.602356
Sillada Education Projects,,project,,,,,15,-19.622215,-64.478271
Sillada Community Projects,,project,,,,,15,-19.624641,-64.481018
Sisi Palermo Education Projects,,project,,,,,15,-17.275005,-66.82254
Sisi Palermo Community Projects,,project,,,,,15,-17.273939,-66.822281
Sisi Palermo Clinic,,project,,,,,15,-17.274595,-66.822968
Sisi Palermo Road,,project,,,,,15,-17.274103,-66.822624
Sombrerito Road,,project,,,,,15,-17.815378,-65.417404
Sumala Clinic,,project,,,,,15,-19.557201,-64.860535
Suragua Clinic,,project,,,,,15,-18.17717,-66.329956
Tablas Monte Clinic,,project,,,,,15,-17.128979,-66.009979
Tablas Monte Education Projects,,project,,,,,15,-17.126354,-66.016846
Tablas Monte Community Projects,,project,,,,,15,-17.126354,-66.003113
Tacora Clinic,,project,,,,,15,-19.9088,-66.231079
Tacora Runway,,project,,,,,15,-19.864895,-66.187134
Tarabuco Road,,project,,,,,15,-19.171761,-64.901733
Tarabuco Runway,,project,,,,,15,-19.173059,-64.916153
Tatuca Clinic,,project,,,,,15,-17.014769,-68.093262
Thago Kasa Road,,project,,,,,15,-17.964363,-65.769653
Thapi (Campo Grande) Road,,project,,,,,15,-21.087063,-65.78476
Thaqo Pampa Clinic,,project,,,,,15,-20.280231,-64.384003
Thaqo Pampa Road,,project,,,,,15,-20.236429,-64.415588
Tica Tica Clinic,,project,,,,,15,-20.144112,-66.314163
Tika Pampa Clinic,,project,,,,,15,-17.816032,-65.220337
Tin Tin - Maman Huachana Road,,project,,,,,15,-18.024445,-65.422211
Tipa Tipa Clinic,,project,,,,,15,-18.051867,-65.291748
Tojra Colla - Totoral Road,,project,,,,,15,-17.703558,-65.765533
Tunas Pampa Clinic,,project,,,,,15,-17.518345,-61.66626
Tupiza Clinic,,project,,,,,15,-21.432617,-65.714722
Tusqui Clinic,,project,,,,,15,-19.386295,-67.022095
Uchama Alta Clinic,,project,,,,,15,-17.913408,-65.467529
Uchama Baja - Pajchapata Road,,project,,,,,15,-18.0091,-65.473763
Ucuchi Education Projects,,project,,,,,15,-17.35326,-65.975647
Ucuchi Community Projects,,project,,,,,15,-17.350637,-65.974274
Ucuchi Reservoir,,project,,,,,15,-17.341463,-65.955048
Uyuni - ICLA Clinic,,project,,,,,15,-19.429688,-64.817276
Uyuni Clinic / Zona Sud,,project,,,,,15,-20.446316,-66.825943
Vacuyo Clinic,,project,,,,,15,-19.466593,-66.112976
Vichacla - Urito Road,,project,,,,,15,-20.578796,-65.604858
Vilacota Clinic,,project,,,,,15,-17.127666,-66.821594
Villa Alcarapi Clinic,,project,,,,,15,-18.821817,-66.286011
Villa de Mayo Clinic,,project,,,,,15,-17.452852,-66.306267
Villa Fatima Clinic,,project,,,,,15,-21.427504,-65.683136
Villa Israel Clinic,,project,,,,,15,-17.471193,-66.165848
Villa Pereira Clinic,,project,,,,,15,-17.379475,-66.732559
Villa Rivero - Kily Kily Road,,project,,,,,15,-17.616211,-65.820808
Villazon Runway,,project,,,,,15,-22.078959,-65.606575
Wacaplaya Clinic,,project,,,,,15,-17.470537,-66.444626
Wayapacha Clinic,,project,,,,,15,-17.565483,-65.401611
Yacambe Clinic,,project,,,,,15,-18.904339,-64.533691
Yambata Clinic,,project,,,,,15,-18.083078,-65.700005
